proporcion,split,seed,bought_rate
80/10/10,test,31,0.12437810945273632
80/10/10,valid,32,0.1264591439688716
80/10/10,test,32,0.13320647002854424
80/10/10,valid,33,0.1347305389221557
80/10/10,test,33,0.131551901336074
80/10/10,valid,34,0.12761714855433698
80/10/10,test,34,0.1375
80/10/10,valid,35,0.1320754716981132
80/10/10,test,35,0.1330049261083744
80/10/10,valid,36,0.13425468904244817
80/10/10,test,36,0.13072519083969467
80/10/10,valid,37,0.12344398340248963
80/10/10,test,37,0.13420787083753785
80/10/10,valid,38,0.1267605633802817
80/10/10,test,38,0.13583815028901733
80/10/10,valid,39,0.12027833001988071
80/10/10,test,39,0.13073170731707318
80/10/10,valid,40,0.13184584178498987
80/10/10,test,40,0.13438735177865613
80/10/10,valid,41,0.12729124236252545
80/10/10,test,41,0.12685827552031714
80/10/10,valid,42,0.13847675568743817
80/10/10,test,42,0.12866108786610878
80/10/10,valid,43,0.12830957230142567
80/10/10,test,43,0.1259920634920635
80/10/10,valid,44,0.13864306784660768
80/10/10,test,44,0.12925851703406813
